UserID,Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
1000022,Yes,270.0,iOS and Android,42630.0,1,4,Financial,82.0,3407,7,No,23,Yes,2,0,10
1000023,No,255.0,iOS and Android,14665.0,1,4,Financial,53.0,11994,0,No,11,No,3,0,13
1000024,No,157.0,iOS and Android,13685.0,15,2,Financial,96.0,1232,1,No,14,No,4,0,0
1000025,Yes,255.0,iOS and Android,24465.0,1,1,Medical,83.0,2960,2,No,11,No,3,0,8
1000026,No,397.0,iOS and Android,44870.0,1,3,Game,58.0,19094,4,No,11,No,4,1,26
1000027,Yes,240.0,iOS,39375.0,16,1,Financial,72.0,3919,1,Yes,22,Yes,2,0,10
1000028,No,,,24185.0,1,4,Social media,48.0,6825,0,No,11,No,4,1,10
1000029,No,330.0,iOS and Android,16695.0,1,4,Medical,42.0,10248,3,No,14,No,4,1,24
1000030,No,345.0,iOS and Android,,1,4,Social media,83.0,18947,3,No,12,No,4,0,22
1000031,No,247.0,iOS and Android,,1,3,Medical,78.0,2496,4,No,11,No,4,0,7
1000032,No,330.0,iOS and Android,51065.0,10,4,Other,41.0,6465,2,Yes,13,No,4,0,9
1000033,No,225.0,iOS and Android,4375.0,1,2,Medical,83.0,2206,1,No,13,No,1,0,10
1000034,Yes,292.0,iOS and Android,31325.0,1,3,Entertainment,56.0,2086,3,No,14,No,3,1,19
1000035,Yes,180.0,iOS and Android,28455.0,1,3,Medical,61.0,2293,2,Yes,16,No,1,1,6
1000036,No,322.0,iOS and Android,44555.0,1,2,Medical,72.0,2645,1,No,12,No,4,2,6
1000037,Yes,375.0,iOS and Android,30415.0,1,2,Social media,86.0,2683,1,Yes,14,No,3,0,3
1000038,No,262.0,iOS and Android,31150.0,1,3,Social media,97.0,2014,1,No,13,No,1,0,2
1000039,No,270.0,iOS and Android,29820.0,1,4,Financial,82.0,3419,9,Yes,14,No,4,1,6
1000040,No,247.0,iOS,39935.0,1,Three,Financial,42.0,5376,2,No,19,No,1,2,10
1000041,No,262.0,iOS and Android,16240.0,1,2,Other,75.0,1951,1,No,12,No,3,1,1
1000042,No,202.0,iOS and Android,43400.0,1,4,Financial,33.0,2341,1,No,13,No,4,1,1
1000043,Yes,195.0,iOS and Android,47495.0,25,3,Financial,48.0,2293,1,No,12,No,3,0,1
1000044,No,202.0,iOS,34790.0,1,3,Financial,37.0,8726,1,No,15,No,4,0,9
1000045,No,225.0,iOS,25235.0,1,2,Medical,58.0,4011,1,No,23,Yes,4,0,12
1000046,Yes,307.0,iOS and Android,47600.0,12,3,Entertainment,49.0,19545,1,No,12,No,4,0,23
1000047,No,255.0,ANDROID,,23,4,Social media,72.0,4568,0,No,20,Yes,3,0,10
1000048,No,277.0,iOS and Android,,19,2,Financial,73.0,3022,4,No,21,Yes,1,0,8
1000049,No,345.0,iOS,42385.0,1,4,Social media,,5772,4,,21,Yes,3,0,14
1000050,No,262.0,iOS and Android,,1,1,Financial,,2269,1,No,19,No,4,0,1
1000051,Yes,360.0,iOS and Android,,1,2,Financial,98.0,5381,9,Yes,13,No,4,0,23
1000052,Yes,210.0,iOS and Android,50190.0,1,4,Entertainment,50.0,3441,1,Yes,13,No,3,0,2
1000053,No,330.0,iOS and Android,52080.0,1,5,Social media,75.0,5454,5,Yes,21,Yes,3,1,9
1000054,No,262.0,ANDROID,38395.0,11,2,Medical,79.0,9884,2,Yes,13,No,3,1,10
1000055,No,195.0,iOS and Android,50505.0,23,3,Social media,47.0,4157,7,Yes,19,No,3,1,5
1000056,No,247.0,iOS,18025.0,1,2,Financial,98.0,13458,1,Yes,12,No,3,0,15
1000057,No,262.0,iOS,29855.0,18,5,Financial,71.0,9069,1,No,22,Yes,4,1,9
1000058,No,262.0,iOS and Android,39970.0,23,4,Medical,3.0,4014,3,Yes,15,No,3,1,4
1000059,No,232.0,iOS and Android,22925.0,1,4,Financial,48.0,5915,3,No,22,Yes,4,1,10
1000060,No,277.0,,39025.0,1,4,Financial,51.0,5993,1,No,18,No,3,1,7
1000061,No,240.0,iOS and Android,14945.0,1,3,Medical,33.0,6162,1,Yes,22,Yes,2,1,9
1000062,No,285.0,iOS,22855.0,29,5,Financial,50.0,2406,1,No,11,No,4,0,10
1000063,No,375.0,iOS and Android,34615.0,1,2,Medical,43.0,18740,5,Yes,12,No,4,1,29
1000064,No,,iOS and Android,50225.0,,Three,Financial,99.0,7637,7,No,11,No,4,0,28
1000065,No,270.0,iOS and Android,42805.0,,3,Entertainment,59.0,10096,1,No,13,No,2,3,17
1000066,No,412.0,iOS and Android,29260.0,1,3,Medical,33.0,14756,2,Yes,14,No,3,3,21
1000067,No,270.0,iOS,41825.0,11,3,Financial,95.0,6499,1,No,13,No,3,0,6
1000068,No,,iOS and Android,46865.0,1,3,Financial,59.0,9724,2,No,17,No,3,1,25
1000069,No,262.0,iOS,23240.0,1,3,Medical,79.0,2194,4,No,13,No,4,1,5
1000070,Yes,270.0,iOS and Android,11130.0,1,3,Medical,79.0,3388,0,Yes,17,No,1,1,2
1000071,No,,iOS,42875.0,1,1,Financial,57.0,5473,7,No,11,No,4,0,20
1000072,No,217.0,iOS and Android,46480.0,1,3,,76.0,2703,0,No,23,Yes,4,1,6
1000073,No,232.0,iOS and Android,37870.0,1,4,Medical,87.0,2501,1,No,17,No,2,0,1
1000074,No,240.0,iOS and Android,19180.0,1,3,Financial,66.0,6220,1,No,17,No,2,2,10
1000075,No,270.0,iOS and Android,4620.0,1,3,Financial,55.0,3038,3,No,12,No,2,0,5
1000076,No,232.0,iOS and Android,26110.0,1,4,Financial,61.0,4424,1,No,23,Yes,4,0,11
1000077,No,262.0,iOS and Android,27160.0,1,4,Social media,32.0,4312,0,No,14,No,2,0,16
1000078,No,,iOS and Android,6755.0,1,4,Other,52.0,13245,4,Yes,14,No,2,0,17
1000079,No,277.0,iOS and Android,13895.0,1,4,Medical,3.0,13664,4,No,13,No,1,0,16
1000080,No,345.0,iOS and Android,33075.0,1,2,Medical,80.0,5021,8,Yes,22,Yes,4,1,16
1000081,No,225.0,iOS and Android,29820.0,1,1,Financial,55.0,5126,1,Yes,12,No,3,2,10
1000082,No,262.0,iOS and Android,42490.0,1,3,Medical,3.0,2859,1,No,18,No,1,0,6
1000083,No,412.0,iOS and Android,3885.0,1,2,Financial,70.0,10239,3,No,14,No,4,1,24
1000084,No,285.0,ANDROID,20055.0,1,3,Medical,79.0,5329,7,Yes,12,No,4,3,17
1000085,No,255.0,iOS and Android,40355.0,1,2,Medical,94.0,4325,1,No,15,No,3,0,5
1000086,No,,iOS and Android,49000.0,1,3,Financial,49.0,7260,4,No,11,No,1,0,37
1000087,No,,iOS and Android,18935.0,1,1,Entertainment,62.0,2322,3,No,13,No,3,1,3
1000088,No,382.0,iOS and Android,15120.0,1,4,Financial,96.0,2075,3,No,23,Yes,2,2,10
1000089,No,225.0,iOS and Android,10080.0,1,Three,Financial,99.0,4152,1,No,19,No,1,3,11
1000090,Yes,345.0,iOS and Android,23415.0,1,2,Medical,64.0,9619,1,No,16,No,4,0,9
1000091,No,300.0,iOS,18550.0,1,4,Financial,78.0,13503,1,No,22,Yes,4,1,22
1000092,No,382.0,iOS and Android,22120.0,21,4,Social media,71.0,5441,0,Yes,22,Yes,4,0,11
1000093,No,225.0,iOS and Android,46690.0,1,2,Medical,63.0,5209,1,Yes,12,No,2,3,11
1000094,No,345.0,iOS,22330.0,1,3,Medical,40.0,10673,2,Yes,13,No,3,1,21
1000095,No,240.0,iOS and Android,38255.0,1,4,Medical,87.0,5010,1,No,16,No,1,0,12
1000096,No,405.0,iOS and Android,42595.0,1,4,Entertainment,60.0,13549,9,No,12,No,1,1,16
1000097,No,180.0,iOS and Android,47355.0,1,2,Other,,4999,0,,21,Yes,1,1,4
1000098,No,210.0,ANDROID,,1,3,Medical,,4221,1,No,15,No,2,0,5
1000099,No,435.0,,23870.0,10,4,Medical,37.0,13872,0,No,13,No,3,0,38
1000100,No,330.0,ANDROID,17115.0,23,3,Medical,67.0,2042,4,No,12,No,3,1,17
1000101,Yes,277.0,iOS and Android,28245.0,1,4,Tour and Travel,63.0,2073,4,Yes,22,Yes,4,0,7
1000102,No,240.0,iOS and Android,28945.0,1,1,Financial,71.0,2956,1,No,13,No,4,0,1
1000103,Yes,150.0,iOS,30485.0,1,3,Financial,66.0,2926,1,Yes,18,No,2,0,1
1000104,No,255.0,iOS and Android,23275.0,1,4,Other,41.0,4809,1,No,14,No,3,0,16
1000105,No,277.0,ANDROID,36400.0,1,2,Financial,100.0,5163,5,No,14,No,4,1,17
1000106,No,,ANDROID,49700.0,1,4,Tour and Travel,32.0,18844,9,No,21,Yes,4,1,30
1000107,No,375.0,iOS,39025.0,1,3,Financial,73.0,18172,3,Yes,19,No,1,0,28
1000108,Yes,187.0,iOS and Android,8400.0,1,3,Social media,46.0,5744,1,Yes,11,No,4,0,6
1000109,No,187.0,iOS and Android,44800.0,1,1,Medical,64.0,2889,1,No,11,No,3,2,2
1000110,No,165.0,iOS and Android,18690.0,15,3,Medical,59.0,2871,1,No,15,No,3,0,1
1000111,No,382.0,iOS,50960.0,1,4,Medical,3.0,7484,3,No,20,Yes,3,0,23
1000112,Yes,255.0,iOS,23030.0,1,3,Financial,66.0,6074,1,Yes,24,Yes,4,0,9
1000113,No,405.0,ANDROID,4970.0,26,Three,Tour and Travel,3.0,17328,2,Yes,12,No,3,0,23
1000114,No,180.0,iOS and Android,39445.0,18,1,Financial,52.0,2774,0,No,12,No,3,1,6
1000115,No,255.0,iOS and Android,36085.0,1,4,Financial,45.0,4505,6,No,15,No,3,1,12
1000116,No,277.0,iOS and Android,41615.0,1,3,Financial,87.0,7428,2,No,12,No,1,0,12
1000117,No,255.0,iOS and Android,47390.0,1,3,Medical,45.0,11631,2,No,12,No,4,0,14
1000118,No,270.0,iOS,51345.0,11,2,Entertainment,92.0,9738,0,No,14,No,3,1,10
1000119,No,270.0,iOS and Android,32270.0,1,2,Financial,39.0,2835,5,No,22,Yes,1,1,7
1000120,No,322.0,iOS,13790.0,26,2,,92.0,16959,1,Yes,12,No,4,2,25
1000121,No,225.0,iOS,45920.0,23,3,Financial,,2613,1,No,25,Yes,3,3,10
1000122,No,247.0,ANDROID,26250.0,22,2,Social media,,6146,0,No,13,No,1,1,8
1000123,Yes,,iOS and Android,15435.0,14,4,Financial,72.0,4963,9,Yes,18,No,1,3,7
1000124,No,382.0,iOS and Android,23940.0,1,3,Financial,51.0,19537,7,No,13,No,3,0,23
1000125,Yes,232.0,iOS and Android,8715.0,1,4,Financial,76.0,6172,4,Yes,18,No,2,0,12
1000126,No,195.0,iOS and Android,29435.0,1,3,Other,46.0,2368,1,No,19,No,3,0,5
1000127,Yes,435.0,iOS and Android,5145.0,23,4,Medical,94.0,10312,1,No,12,No,4,1,40
1000128,Yes,42.0,iOS and Android,18480.0,22,1,Social media,50.0,1675,1,Yes,19,No,4,0,0
1000129,No,165.0,iOS and Android,20790.0,1,1,Entertainment,100.0,2523,0,No,14,No,3,1,3
1000130,No,367.0,iOS and Android,16450.0,20,4,Medical,96.0,6567,1,No,14,No,3,0,16
1000131,No,322.0,iOS,33495.0,28,3,Medical,72.0,4739,4,No,12,No,4,0,18
1000132,No,375.0,iOS,28315.0,12,3,Social media,77.0,9208,4,No,11,No,4,0,16
1000133,Yes,232.0,iOS and Android,18970.0,20,3,Financial,71.0,4559,3,Yes,11,No,3,1,4
1000134,No,307.0,,28070.0,1,1,Financial,96.0,8189,3,Yes,13,No,3,1,12
1000135,No,195.0,iOS and Android,47425.0,25,1,Financial,61.0,2942,1,No,23,Yes,4,1,8
1000136,No,270.0,iOS and Android,7560.0,1,2,Medical,84.0,4941,6,No,20,Yes,4,2,7
1000137,Yes,382.0,iOS,40250.0,1,4,Financial,53.0,10650,2,No,15,No,4,0,18
1000138,No,292.0,iOS and Android,,1,4,Financial,47.0,5902,4,No,14,No,3,1,17
1000139,No,187.0,iOS and Android,,28,Three,Financial,41.0,8639,2,No,18,No,4,0,6
1000140,No,225.0,iOS and Android,,1,3,Tour and Travel,48.0,6347,0,Yes,19,No,4,0,12
1000141,Yes,240.0,iOS and Android,36155.0,1,3,Medical,41.0,4200,7,No,22,Yes,1,0,10
1000142,No,,iOS and Android,46060.0,29,3,Medical,83.0,3452,5,No,13,No,2,0,9
1000143,No,285.0,iOS and Android,12740.0,1,5,Entertainment,32.0,4317,3,Yes,20,Yes,2,0,19
1000144,No,225.0,iOS and Android,15330.0,18,3,Financial,75.0,2632,1,No,14,No,3,0,5
1000145,No,240.0,iOS,24115.0,1,2,Medical,,4668,0,,17,No,4,3,9
1000146,No,225.0,iOS and Android,7035.0,1,3,Entertainment,,3204,5,No,14,No,4,1,8
1000147,No,225.0,iOS and Android,49945.0,1,1,Medical,,2720,0,No,13,No,4,0,6
1000148,No,307.0,iOS,29995.0,10,3,Financial,91.0,17181,4,No,13,No,2,1,21
1000149,No,307.0,iOS and Android,32655.0,1,4,Financial,94.0,2238,2,No,21,Yes,4,1,7
1000150,No,42.0,iOS and Android,,1,1,Medical,79.0,1483,1,No,14,No,4,0,1
1000151,No,300.0,iOS,,26,3,Medical,54.0,5605,1,No,11,No,1,1,20
1000152,No,262.0,iOS and Android,,1,5,Social media,94.0,7295,1,No,13,No,1,2,10
1000153,No,397.0,iOS and Android,50260.0,1,2,Social media,34.0,2306,2,Yes,20,Yes,4,1,13
1000154,No,,iOS and Android,,1,3,Financial,60.0,2348,8,No,18,No,3,1,20
1000155,No,240.0,iOS,33845.0,1,3,Social media,43.0,8998,1,No,14,No,4,0,9
1000156,No,217.0,ANDROID,52360.0,1,1,Entertainment,41.0,4319,1,No,13,No,1,1,10
1000157,No,382.0,iOS and Android,40915.0,1,4,Medical,34.0,6132,2,No,17,No,3,0,10
1000158,No,435.0,iOS and Android,40075.0,1,3,Medical,75.0,3346,4,Yes,20,Yes,2,1,9
1000159,No,300.0,iOS and Android,22050.0,1,4,Social media,67.0,10855,7,No,11,No,1,1,15
1000160,No,255.0,iOS,10605.0,1,4,Social media,75.0,2231,6,No,18,No,4,1,6
1000161,No,165.0,iOS and Android,,19,1,Medical,80.0,2323,1,No,24,Yes,1,2,2
1000162,No,202.0,,24185.0,1,3,Medical,57.0,2024,6,No,18,No,4,1,6
1000163,No,210.0,iOS and Android,,21,3,Medical,42.0,2713,1,No,11,No,3,1,5
1000164,No,427.0,iOS and Android,,24,2,Financial,83.0,9439,3,Yes,16,No,2,1,12
1000165,No,202.0,ANDROID,50750.0,1,Three,Medical,79.0,2566,1,Yes,15,No,4,1,1
1000166,No,375.0,iOS and Android,50820.0,11,3,Financial,53.0,19926,3,No,15,No,2,0,21
1000167,No,307.0,iOS and Android,16275.0,14,3,Financial,56.0,2451,4,No,12,No,1,1,13
1000168,No,225.0,iOS and Android,46865.0,1,3,,41.0,9419,2,No,12,No,3,1,12
1000169,No,285.0,iOS and Android,24570.0,1,4,Financial,,8686,4,No,22,Yes,3,0,12
1000170,No,240.0,iOS and Android,,1,5,Financial,,3038,3,No,20,Yes,1,0,8
1000171,No,202.0,iOS and Android,40495.0,17,3,Entertainment,,3058,0,Yes,16,No,4,1,6
1000172,Yes,42.0,iOS,21070.0,1,1,Entertainment,100.0,2325,0,No,21,Yes,1,0,1
1000173,No,270.0,iOS,51800.0,1,2,Medical,3.0,2088,4,No,12,No,3,0,13
1000174,No,225.0,ANDROID,3885.0,1,3,Medical,66.0,3072,1,No,11,No,3,2,12
1000175,No,,iOS and Android,44380.0,1,2,Financial,3.0,5006,4,Yes,11,No,1,1,9
1000176,No,,iOS and Android,24955.0,1,3,Financial,67.0,4257,4,Yes,18,No,3,1,19
1000177,No,247.0,iOS and Android,4690.0,1,3,Financial,90.0,2500,0,No,14,No,1,0,4
1000178,Yes,42.0,iOS and Android,10605.0,1,3,Financial,47.0,1102,1,No,22,Yes,3,0,1
1000179,No,345.0,iOS and Android,18410.0,1,2,Social media,92.0,10453,1,No,25,Yes,3,3,24
1000180,No,285.0,iOS and Android,48300.0,1,2,Financial,75.0,2288,1,No,12,No,3,0,2
1000181,No,232.0,iOS and Android,4900.0,12,1,Medical,95.0,3929,8,Yes,23,Yes,3,1,7
1000182,No,255.0,iOS and Android,22015.0,27,2,Medical,95.0,2311,2,No,15,No,4,0,9
1000183,Yes,307.0,iOS and Android,47460.0,20,2,Social media,70.0,3140,1,Yes,22,Yes,4,0,4
1000184,No,375.0,iOS and Android,11480.0,1,3,Medical,86.0,3690,2,No,15,No,4,1,5
1000185,No,397.0,iOS and Android,37940.0,13,2,Medical,57.0,4450,1,No,11,No,3,2,5
1000186,No,247.0,iOS and Android,32585.0,14,3,Medical,72.0,2756,1,No,13,No,4,1,8
1000187,No,300.0,iOS and Android,34615.0,1,10,Medical,46.0,19033,1,No,14,No,2,1,21
1000188,No,412.0,iOS and Android,24220.0,14,4,Medical,61.0,18722,8,No,11,No,4,0,36
1000189,No,255.0,iOS,37415.0,1,1,Financial,45.0,9547,1,No,17,No,3,0,10
1000190,No,382.0,iOS and Android,10955.0,1,Three,Medical,98.0,13734,3,No,18,No,3,0,21
1000191,No,,iOS and Android,24465.0,1,4,Financial,65.0,19999,0,No,14,No,1,1,34
1000192,No,202.0,iOS and Android,31290.0,1,3,Medical,99.0,2279,1,No,16,No,4,0,7
1000193,Yes,262.0,iOS and Android,19460.0,23,2,Financial,,5916,3,,13,No,1,0,8
1000194,No,322.0,ANDROID,47040.0,1,3,Medical,,2089,4,No,14,No,4,3,7
1000195,No,,ANDROID,41825.0,1,2,Medical,,16792,9,No,23,Yes,4,1,22
1000196,No,277.0,iOS and Android,10150.0,21,3,Financial,65.0,3564,1,Yes,12,No,1,1,8
1000197,No,262.0,,,1,3,Medical,37.0,4425,5,No,11,No,4,0,10
1000198,No,,ANDROID,32410.0,21,2,Medical,36.0,5265,2,No,16,No,2,1,11
1000199,No,285.0,iOS and Android,44135.0,1,4,Financial,88.0,6553,9,No,14,No,2,0,14
1000200,No,285.0,iOS and Android,37940.0,29,3,Entertainment,54.0,6261,3,No,18,No,1,1,9
1000201,No,202.0,iOS,16520.0,1,1,Entertainment,60.0,4298,5,No,19,No,3,1,6
1000202,No,367.0,ANDROID,35070.0,18,4,Financial,92.0,6804,1,Yes,15,No,1,2,7
1000203,No,255.0,iOS,30730.0,10,4,Medical,43.0,3815,1,Yes,17,No,4,1,5
1000204,No,300.0,iOS and Android,31675.0,19,2,Medical,99.0,2741,8,Yes,15,No,3,1,15
1000205,Yes,285.0,iOS and Android,41300.0,29,1,Medical,70.0,6673,7,Yes,19,No,2,0,17
1000206,Yes,217.0,iOS and Android,4235.0,27,3,Social media,35.0,7639,1,No,22,Yes,4,3,10
1000207,No,165.0,iOS and Android,39760.0,1,3,Financial,60.0,2328,1,Yes,16,No,1,1,4
1000208,No,270.0,iOS,22225.0,18,1,Medical,73.0,2153,1,No,13,No,1,0,8
1000209,No,300.0,ANDROID,40285.0,1,5,Financial,63.0,4876,9,No,14,No,4,1,5
1000210,No,345.0,iOS and Android,22540.0,1,4,Medical,97.0,9396,7,No,16,No,3,1,17
1000211,Yes,240.0,iOS and Android,36575.0,1,4,Medical,32.0,10400,1,No,11,No,3,0,14
1000212,No,225.0,ANDROID,29015.0,1,1,Financial,88.0,8474,1,No,22,Yes,3,0,12
1000213,No,202.0,iOS,43470.0,20,3,Financial,90.0,9981,1,No,14,No,4,0,7
1000214,No,382.0,iOS and Android,51415.0,1,4,Financial,81.0,12490,5,No,16,No,4,2,16
1000215,Yes,225.0,iOS and Android,35175.0,1,3,Entertainment,88.0,2657,5,Yes,11,No,3,0,8
1000216,No,307.0,iOS and Android,,1,3,Financial,75.0,13591,3,Yes,18,No,3,0,16
1000217,Yes,225.0,iOS,,26,4,Social media,52.0,6696,5,No,15,No,3,0,9
1000218,Yes,217.0,iOS and Android,34720.0,1,3,Entertainment,,2058,0,No,14,No,4,0,7
1000219,No,,ANDROID,36820.0,1,3,Medical,,8865,6,No,12,No,4,0,23
1000220,No,405.0,iOS and Android,40145.0,1,3,Social media,52.0,5940,2,No,14,No,4,1,16
1000221,No,270.0,iOS and Android,48860.0,1,2,Financial,62.0,5914,8,No,16,No,4,0,16
1000222,No,247.0,iOS and Android,5145.0,1,4,Medical,47.0,2622,6,No,21,Yes,4,0,7
1000223,No,277.0,iOS,23205.0,11,3,Other,47.0,12185,1,Yes,14,No,3,3,10
1000224,No,285.0,iOS and Android,4165.0,1,3,Financial,76.0,10609,0,No,12,No,3,2,17
1000225,No,232.0,ANDROID,34265.0,1,4,Medical,90.0,4345,0,No,12,No,4,1,6
1000226,No,,iOS and Android,4970.0,1,3,Financial,70.0,2177,3,No,17,No,1,1,7
1000227,No,277.0,iOS,11165.0,1,4,Social media,41.0,2793,4,No,17,No,3,1,13
1000228,No,217.0,iOS,,1,1,Medical,42.0,7918,1,No,14,No,4,1,11
1000229,No,262.0,iOS,33040.0,1,3,Social media,92.0,8789,1,No,14,No,1,0,10
1000230,Yes,217.0,,31360.0,18,1,Medical,86.0,2389,1,Yes,13,No,3,0,4
1000231,No,,iOS and Android,46305.0,1,3,Financial,89.0,3212,7,No,15,No,2,0,6
1000232,No,,iOS and Android,18620.0,1,2,Entertainment,58.0,19232,1,No,11,No,4,0,22
1000233,No,,iOS and Android,28630.0,1,2,Medical,52.0,2267,8,No,17,No,4,0,7
1000234,No,375.0,iOS and Android,29890.0,1,4,Medical,68.0,19517,3,No,11,No,3,1,32
1000235,Yes,247.0,iOS and Android,28455.0,14,3,Medical,58.0,2436,5,Yes,13,No,3,1,8
1000236,No,322.0,iOS and Android,36190.0,16,3,Social media,80.0,16064,5,Yes,22,Yes,3,1,22
1000237,Yes,247.0,iOS and Android,16275.0,1,2,Financial,39.0,2707,7,No,20,Yes,1,0,13
1000238,No,,ANDROID,,1,4,Financial,79.0,19068,1,Yes,18,No,4,0,33
1000239,No,240.0,iOS and Android,,1,2,Financial,56.0,3931,2,No,11,No,1,1,6
1000240,Yes,240.0,iOS and Android,18025.0,1,Three,,62.0,3730,0,Yes,14,No,4,0,4
1000241,No,292.0,iOS and Android,50085.0,1,4,Medical,96.0,2232,7,,14,No,3,3,7
1000242,No,240.0,ANDROID,34160.0,26,4,Social media,,4465,0,No,18,No,1,0,4
1000243,No,307.0,iOS and Android,49385.0,19,2,Financial,,3072,2,No,16,No,1,2,17
1000244,No,300.0,iOS and Android,45500.0,24,2,Entertainment,62.0,3319,1,No,17,No,1,2,9
1000245,No,,iOS and Android,8820.0,1,3,Other,70.0,19202,0,No,11,No,3,1,25
1000246,No,232.0,iOS,46445.0,1,4,Medical,73.0,13675,9,No,12,No,1,1,9
1000247,No,247.0,iOS and Android,29120.0,1,4,Financial,63.0,2911,1,No,13,No,3,1,2
1000248,No,255.0,iOS and Android,16450.0,1,4,Financial,84.0,5957,6,No,13,No,2,1,13
1000249,No,277.0,iOS and Android,35595.0,1,2,Medical,83.0,3920,2,No,14,No,1,1,17
1000250,No,,iOS,41965.0,1,4,Financial,77.0,6434,4,No,17,No,4,1,9
1000251,Yes,277.0,iOS,17640.0,10,3,Medical,61.0,10048,6,No,11,No,2,2,17
1000252,No,292.0,iOS,17675.0,1,4,Movie,64.0,10938,0,No,25,Yes,4,0,20
1000253,No,217.0,iOS and Android,23275.0,15,3,Financial,60.0,2340,1,No,19,No,1,0,6
1000254,No,,iOS and Android,32060.0,17,2,Financial,82.0,6545,3,Yes,13,No,3,0,10
1000255,No,217.0,iOS and Android,43645.0,,2,Social media,45.0,6931,2,No,14,No,4,1,10
1000256,No,187.0,iOS and Android,23975.0,,3,Financial,62.0,4898,0,No,12,No,4,2,5
1000257,No,,iOS and Android,9415.0,1,3,Medical,56.0,2593,0,Yes,11,No,3,1,10
1000258,No,300.0,iOS and Android,49560.0,1,2,Medical,49.0,19436,0,No,19,No,4,1,22
1000259,No,382.0,iOS and Android,29155.0,1,3,Financial,96.0,2723,1,No,11,No,2,0,1
1000260,Yes,232.0,iOS,10745.0,29,2,Medical,71.0,3479,0,No,11,No,2,0,6
1000261,No,240.0,iOS,45885.0,1,3,Financial,100.0,2794,1,No,20,Yes,3,0,5
1000262,No,285.0,ANDROID,46445.0,1,2,Financial,39.0,5249,3,No,18,No,4,1,13
1000263,No,240.0,iOS and Android,4480.0,1,1,Entertainment,84.0,2176,4,No,13,No,4,0,9
1000264,No,345.0,iOS and Android,17080.0,1,3,Entertainment,75.0,16872,3,Yes,12,No,2,1,28
1000265,Yes,210.0,iOS and Android,18515.0,1,4,Financial,79.0,3485,2,,11,No,3,0,5
1000266,No,217.0,iOS and Android,42350.0,1,Three,Medical,,6644,2,No,19,No,2,2,10
1000267,No,232.0,iOS and Android,51205.0,23,3,Medical,,5582,0,No,21,Yes,2,1,10
1000268,No,187.0,ANDROID,23625.0,1,2,Financial,85.0,4000,1,No,12,No,4,2,6
